Gene	GDI	GDI-Phred	Gene damage prediction (all disease-causing genes)
ZNF629	147.65212	2.64791	Medium
PRADC1	147.70571	2.64832	Medium
AKAP5	147.82319	2.64873	Medium
STOML3	147.8329	2.64914	Medium
APBB2	147.87116	2.64955	Medium
CHST15	147.96514	2.64996	Medium
EEF1B2	147.98282	2.65036	Medium
KIF18A	148.01915	2.65077	Medium
CCDC177	148.04706	2.65118	Medium
MGAT4A	148.07025	2.65159	Medium
ZNF705G	148.15733	2.65200	Medium
SCN1A	148.17021	2.65241	Medium
C11orf48	148.2686	2.65282	Medium
FAM135B	148.31692	2.65323	Medium
FAM167A	148.33677	2.65364	Medium
HOXB2	148.37143	2.65404	Medium
TAGAP	148.37259	2.65445	Medium
TMEM209	148.3781	2.65486	Medium
ANKRD55	148.38001	2.65527	Medium
ZNF677	148.40467	2.65568	Medium
P2RX5	148.45371	2.65609	Medium
ESR1	148.46269	2.65650	Medium
HSPA2	148.46704	2.65691	Medium
ALDOB	148.49314	2.65732	Medium
PAX5	148.49912	2.65773	Medium
SLC37A1	148.51546	2.65814	Medium
BHLHE23	148.53648	2.65855	Medium
CAPSL	148.53852	2.65896	Medium
FKBP9	148.62583	2.65937	Medium
PLA2G6	148.63297	2.65978	Medium
IFNA16	148.8458	2.66019	Medium
NUDT1	148.84611	2.66060	Medium
ADORA2A	148.88112	2.66101	Medium
CLPTM1L	148.89252	2.66142	Medium
GBA	149.04466	2.66182	Medium
HAL	149.14468	2.66223	Medium
NPEPL1	149.17566	2.66264	Medium
TATDN3	149.21929	2.66305	Medium
PLEKHH3	149.26629	2.66346	Medium
ELP5	149.28012	2.66387	Medium
EOMES	149.31934	2.66428	Medium
NOC4L	149.35551	2.66469	Medium
FSD1L	149.46024	2.66511	Medium
GLRA1	149.47271	2.66552	Medium
GFER	149.48152	2.66593	Medium
SLU7	149.54581	2.66634	Medium
HENMT1	149.5592	2.66675	Medium
ANXA7	149.62286	2.66716	Medium
CTSG	149.68188	2.66757	Medium
OVOL2	149.7231	2.66798	Medium
FAH	149.7435	2.66839	Medium
DYNC1I1	149.80256	2.66880	Medium
UNC93B1	149.92935	2.66921	Medium
CCL3	149.93525	2.66962	Medium
UBA2	149.99248	2.67003	Medium
RHPN1	149.9984	2.67044	Medium
SLC13A4	150.0444	2.67085	Medium
PLSCR2	150.06208	2.67126	Medium
SNX14	150.07757	2.67167	Medium
TAS2R8	150.09355	2.67208	Medium
MFSD10	150.12015	2.67249	Medium
IL12B	150.13365	2.67291	Medium
POMGNT1	150.18197	2.67332	Medium
DND1	150.19546	2.67373	Medium
TBC1D30	150.22298	2.67414	Medium
SDHB	150.23642	2.67455	Medium
SLC45A4	150.28485	2.67496	Medium
MED9	150.29468	2.67537	Medium
STAM2	150.35228	2.67578	Medium
ZNHIT6	150.40362	2.67619	Medium
MURC	150.4094	2.67661	Medium
SEC62	150.4239	2.67702	Medium
IBA57-AS1	150.4243	2.67743	Medium
CRYBA4	150.50912	2.67784	Medium
SPRED3	150.51303	2.67825	Medium
PPP1R13B	150.56241	2.67866	Medium
CEP44	150.60431	2.67907	Medium
PDE4B	150.61725	2.67949	Medium
RBKS	150.62936	2.67990	Medium
LL22NC03-63E9.3	150.67565	2.68031	Medium
WDR47	150.69863	2.68072	Medium
TPH1	150.71244	2.68113	Medium
CAPNS2	150.71612	2.68154	Medium
THEM5	150.75669	2.68195	Medium
ST6GALNAC1	150.75936	2.68237	Medium
UQCC2	150.80136	2.68278	Medium
EPB42	150.84156	2.68319	Medium
AL031663.2	150.86244	2.68360	Medium
GADD45GIP1	150.86841	2.68401	Medium
ATAD2	150.87158	2.68443	Medium
GGTLC1	150.88184	2.68484	Medium
DICER1	150.94725	2.68525	Medium
FAM126A	150.95643	2.68566	Medium
CRYGC	150.98482	2.68607	Medium
E2F5	151.0009	2.68649	Medium
DNAJC12	151.04304	2.68690	Medium
GPAT2	151.08322	2.68731	Medium
SLC40A1	151.17274	2.68772	Medium
OTUB2	151.18302	2.68814	Medium
C2CD2	151.19965	2.68855	Medium
EXOC5	151.2475	2.68896	Medium
SNX5	151.29075	2.68937	Medium
ATAT1	151.29878	2.68979	Medium
C5orf15	151.43482	2.69020	Medium
HLCS	151.46286	2.69061	Medium
ACACA	151.5075	2.69102	Medium
UBA52	151.51995	2.69144	Medium
CHM	151.57478	2.69185	Medium
BSPH1	151.58548	2.69226	Medium
NXNL2	151.58957	2.69267	Medium
OSBPL7	151.61085	2.69309	Medium
SEMA3G	151.66127	2.69350	Medium
PLCD4	151.66317	2.69391	Medium
GCKR	151.76469	2.69433	Medium
FARSA	151.78294	2.69474	Medium
NUP88	151.96324	2.69515	Medium
ARFGEF2	151.96563	2.69556	Medium
TSPAN2	151.97102	2.69598	Medium
MAP3K12	151.97483	2.69639	Medium
MRPS30	151.99909	2.69680	Medium
EPB41L1	152.04173	2.69722	Medium
RTN4RL1	152.13717	2.69763	Medium
MAP6	152.156	2.69804	Medium
C15orf43	152.15743	2.69846	Medium
ZNF18	152.16568	2.69887	Medium
DES	152.44729	2.69928	Medium
SWSAP1	152.4542	2.69970	Medium
TRIM9	152.48629	2.70011	Medium
OR5AS1	152.51869	2.70052	Medium
SLC35D2	152.53081	2.70094	Medium
LL22NC03-75H12.2	152.55255	2.70135	Medium
CLC	152.55485	2.70177	Medium
KCNA3	152.59276	2.70218	Medium
RDH5	152.66364	2.70259	Medium
GRAMD3	152.70618	2.70301	Medium
AASS	152.77734	2.70342	Medium
NOVA1	152.84098	2.70383	Medium
TUT1	152.84753	2.70425	Medium
SETDB2	152.91231	2.70466	Medium
PSD2	152.91807	2.70508	Medium
MDM4	152.98123	2.70549	Medium
MB21D2	153.06828	2.70590	Medium
BEND4	153.07148	2.70632	Medium
SMAD6	153.14066	2.70673	Medium
CLEC18B	153.27971	2.70715	Medium
ALX1	153.29937	2.70756	Medium
ZNF334	153.32626	2.70797	Medium
ZNF513	153.34627	2.70839	Medium
CMPK2	153.38875	2.70880	Medium
GPD1	153.40117	2.70922	Medium
TOR2A	153.54144	2.70963	Medium
GPR107	153.55593	2.71005	Medium
RIOK1	153.59995	2.71046	Medium
GLYAT	153.69996	2.71087	Medium
PLCXD1	153.78841	2.71129	Medium
KLHL41	153.84573	2.71170	Medium
FAM109B	153.91357	2.71212	Medium
HOXB9	153.95584	2.71253	Medium
ALAS1	153.9661	2.71295	Medium
SNAI3	154.07233	2.71336	Medium
ADNP2	154.16578	2.71378	Medium
ING1	154.20317	2.71419	Medium
DHX38	154.29475	2.71461	Medium
KCNMA1	154.36657	2.71502	Medium
BTN3A3	154.38227	2.71544	Medium
GAPDHS	154.41391	2.71585	Medium
IDS	154.43873	2.71627	Medium
LRRC40	154.46973	2.71668	Medium
RIMKLB	154.47629	2.71710	Medium
SLC6A7	154.49049	2.71751	Medium
TNFRSF1A	154.52417	2.71793	Medium
DLL1	154.6003	2.71834	Medium
OR2A42	154.60164	2.71876	Medium
IL9	154.84152	2.71917	Medium
HHLA3	154.86249	2.71959	Medium
AMELX	155.06754	2.72000	Medium
C16orf91	155.12166	2.72042	Medium
TIE1	155.13715	2.72083	Medium
TRMT5	155.17583	2.72125	Medium
SNTB1	155.18824	2.72167	Medium
RPA2	155.28434	2.72208	Medium
PLAT	155.28813	2.72250	Medium
PRSS27	155.30094	2.72291	Medium
L2HGDH	155.34999	2.72333	Medium
CGREF1	155.37089	2.72374	Medium
SECTM1	155.45212	2.72416	Medium
DPYSL5	155.45494	2.72458	Medium
VEGFB	155.52306	2.72499	Medium
ITGB8	155.5321	2.72541	Medium
ZNF580	155.58583	2.72582	Medium
POLK	155.6478	2.72624	Medium
MIDN	155.683	2.72666	Medium
TANGO2	155.69121	2.72707	Medium
CHAMP1	155.81284	2.72749	Medium
RING1	155.84978	2.72790	Medium
MOXD1	155.89106	2.72832	Medium
CHRDL1	155.92032	2.72874	Medium
NEIL1	155.96943	2.72915	Medium
MBD3L1	155.97675	2.72957	Medium
BRIP1	155.97826	2.72998	Medium
OR5C1	156.0106	2.73040	Medium
LRRC8B	156.14969	2.73082	Medium
IGF1R	156.15124	2.73123	Medium
ARSI	156.19896	2.73165	Medium
OR2AT4	156.25725	2.73207	Medium
ZNF609	156.28545	2.73248	Medium
DEFB124	156.30745	2.73290	Medium
CTDSP1	156.37837	2.73332	Medium
PRKCE	156.41768	2.73373	Medium
CTNNA2	156.4549	2.73415	Medium
E4F1	156.51441	2.73457	Medium
HIST3H3	156.552	2.73498	Medium
SESN2	156.74305	2.73540	Medium
NDUFA9	156.86301	2.73582	Medium
ZNF141	156.94519	2.73623	Medium
TSPAN32	156.95947	2.73665	Medium
KIFC3	156.96484	2.73707	Medium
BLVRB	157.01611	2.73749	Medium
POLR3C	157.06069	2.73790	Medium
CHST2	157.07921	2.73832	Medium
RGS14	157.08599	2.73874	Medium
MMP11	157.09784	2.73915	Medium
BASP1	157.19188	2.73957	Medium
DNAJC22	157.20728	2.73999	Medium
CIDEC	157.22556	2.74041	Medium
LRRC28	157.2747	2.74082	Medium
DPH7	157.31543	2.74124	Medium
SQSTM1	157.38368	2.74166	Medium
OR4X2	157.44764	2.74208	Medium
FOXN4	157.5309	2.74249	Medium
XCL2	157.5486	2.74291	Medium
LRRC7	157.64981	2.74333	Medium
HABP2	157.81255	2.74375	Medium
NECAB3	157.83453	2.74416	Medium
RAPGEF4	157.86292	2.74458	Medium
LBR	157.9434	2.74500	Medium
SOX13	157.95662	2.74542	Medium
SMOC1	157.99132	2.74584	Medium
TYROBP	158.00999	2.74625	Medium
DMRTA1	158.15062	2.74667	Medium
DDR1	158.21916	2.74709	Medium
RP11-812E19.9	158.2828	2.74751	Medium
CCBE1	158.28616	2.74793	Medium
IFNW1	158.29096	2.74834	Medium
ANKRD52	158.3001	2.74876	Medium
GZF1	158.42232	2.74918	Medium
CDKL2	158.42474	2.74960	Medium
PPM1K	158.4555	2.75002	Medium
SBK2	158.52563	2.75043	Medium
ADIPOQ	158.55583	2.75085	Medium
NCOA1	158.73637	2.75127	Medium
NYAP2	158.7708	2.75169	Medium
TDRD7	158.83337	2.75211	Medium
TRUB2	158.84566	2.75253	Medium
ACSM2B	158.88296	2.75294	Medium
IL36RN	158.88685	2.75336	Medium
ZNF630	158.90767	2.75378	Medium
ATP8B2	159.00297	2.75420	Medium
TNFAIP8L3	159.02312	2.75462	Medium
BSX	159.03212	2.75504	Medium
ID1	159.0431	2.75546	Medium
MRPL27	159.06986	2.75588	Medium
EXOC4	159.10541	2.75629	Medium
CDC42BPB	159.11353	2.75671	Medium
BMP5	159.17943	2.75713	Medium
GDPD3	159.35257	2.75755	Medium
ZNF549	159.36041	2.75797	Medium
ZNF433	159.38951	2.75839	Medium
YIF1A	159.42561	2.75881	Medium
PTPDC1	159.73174	2.75923	Medium
TTC32	159.7321	2.75965	Medium
GPR146	159.85173	2.76007	Medium
ANAPC7	159.89983	2.76049	Medium
HOXA7	159.92209	2.76090	Medium
ZW10	160.03892	2.76132	Medium
FBLN1	160.09965	2.76174	Medium
B3GNT3	160.13043	2.76216	Medium
CHML	160.16455	2.76258	Medium
FAM63B	160.37511	2.76300	Medium
MAGEA8	160.38966	2.76342	Medium
CHODL	160.47364	2.76384	Medium
ALPI	160.50719	2.76426	Medium
SCTR	160.51374	2.76468	Medium
TACO1	160.55214	2.76510	Medium
DCP1A	160.55737	2.76552	Medium
TFIP11	160.57464	2.76594	Medium
SLC25A21-AS1	160.59404	2.76636	Medium
GZMM	160.5953	2.76678	Medium
ACKR2	160.60295	2.76720	Medium
RCC2	160.69226	2.76762	Medium
KRTAP6-3	160.69859	2.76804	Medium
HARS	160.6993	2.76846	Medium
MFSD3	160.73646	2.76888	Medium
WBSCR28	160.74681	2.76930	Medium
TSG101	160.81425	2.76972	Medium
TERF2IP	160.91892	2.77014	Medium
ZC3H18	160.96943	2.77056	Medium
SLC2A5	161.01384	2.77098	Medium
TRIM37	161.06988	2.77140	Medium
CCL4	161.08883	2.77182	Medium
NRCAM	161.09406	2.77224	Medium
CCDC124	161.0951	2.77266	Medium
FAP	161.12606	2.77308	Medium
C3orf14	161.176	2.77350	Medium
PPP3CC	161.32852	2.77392	Medium
CECR6	161.33717	2.77434	Medium
KCNAB2	161.34463	2.77476	Medium
CTSF	161.35046	2.77519	Medium
METRNL	161.36194	2.77561	Medium
FCGR3B	161.44959	2.77603	Medium
KRTAP4-12	161.45954	2.77645	Medium
CDIP1	161.48919	2.77687	Medium
WEE1	161.53498	2.77729	Medium
MMP19	161.61686	2.77771	Medium
LMCD1	161.70706	2.77813	Medium
APBB1	161.71105	2.77855	Medium
NUDT16	161.74115	2.77897	Medium
FBXL5	161.83747	2.77939	Medium
DNAJC6	161.88436	2.77982	Medium
COL1A2	161.91131	2.78024	Medium
HNRNPUL2	161.94024	2.78066	Medium
NDRG1	162.03964	2.78108	Medium
SEL1L	162.19537	2.78150	Medium
CCDC3	162.20237	2.78192	Medium
OOEP	162.24685	2.78234	Medium
AS3MT	162.29015	2.78276	Medium
LDHD	162.36964	2.78319	Medium
RABL6	162.54419	2.78361	Medium
ARID3B	162.58733	2.78403	Medium
TNFSF11	162.64108	2.78445	Medium
KRCC1	162.69814	2.78487	Medium
KAT8	162.71582	2.78529	Medium
MRPS12	162.82289	2.78572	Medium
SLC16A3	162.94808	2.78614	Medium
LAPTM4B	162.96113	2.78656	Medium
TRIML2	163.0223	2.78698	Medium
CA2	163.06398	2.78740	Medium
MRPL55	163.07847	2.78782	Medium
GTSF1L	163.0868	2.78825	Medium
MEF2B	163.09668	2.78867	Medium
EPN1	163.13888	2.78909	Medium
GATAD2A	163.14317	2.78951	Medium
THRAP3	163.30521	2.78993	Medium
BRD3	163.3189	2.79036	Medium
CNTN1	163.39635	2.79078	Medium
CCT8L2	163.41963	2.79120	Medium
KPNA5	163.50959	2.79162	Medium
SEMA7A	163.51267	2.79205	Medium
TIMM10B	163.53864	2.79247	Medium
GAS2L3	163.59839	2.79289	Medium
CANX	163.62404	2.79331	Medium
AACS	163.63033	2.79374	Medium
CST7	163.63628	2.79416	Medium
ZZZ3	163.74564	2.79458	Medium
FNDC3B	163.76466	2.79500	Medium
MRPS15	163.76941	2.79543	Medium
KLK15	163.77657	2.79585	Medium
STAU1	163.86261	2.79627	Medium
BOLA1	163.91566	2.79669	Medium
AMBP	164.09787	2.79712	Medium
CCDC51	164.1155	2.79754	Medium
TOR1AIP1	164.11702	2.79796	Medium
TRAT1	164.28937	2.79839	Medium
ABL1	164.30123	2.79881	Medium
USP38	164.3806	2.79923	Medium
LGALS4	164.38826	2.79965	Medium
PURG	164.41181	2.80008	Medium
CKAP5	164.46097	2.80050	Medium
TBXA2R	164.53131	2.80092	Medium
ZSCAN20	164.61809	2.80135	Medium
DIO2	164.63001	2.80177	Medium
PCDH19	164.63901	2.80219	Medium
KLHL29	164.66985	2.80262	Medium
JOSD1	164.67004	2.80304	Medium
SYN1	164.73159	2.80346	Medium
C12orf74	164.76253	2.80389	Medium
SS18	164.78585	2.80431	Medium
KRTAP19-2	164.84426	2.80473	Medium
AC007204.1	164.86088	2.80516	Medium
TRIB1	164.86587	2.80558	Medium
PCED1A	164.8719	2.80601	Medium
NAF1	164.89693	2.80643	Medium
C17orf62	164.91251	2.80685	Medium
IL1RAP	164.92286	2.80728	Medium
PAPD5	164.93167	2.80770	Medium
SEPW1	164.93558	2.80812	Medium
FAM222A	164.93994	2.80855	Medium
FRMD8	164.96748	2.80897	Medium
FBXO33	164.97193	2.80940	Medium
HSD17B2	164.9854	2.80982	Medium
GNGT2	165.03072	2.81024	Medium
RP11-139J15.7	165.06762	2.81067	Medium
RGPD2	165.12216	2.81109	Medium
RP11-1070N10.3	165.19175	2.81152	Medium
MBD5	165.21581	2.81194	Medium
DPP4	165.27236	2.81237	Medium
PTGDR2	165.3637	2.81279	Medium
ITGB7	165.42925	2.81321	Medium
ACOX2	165.51083	2.81364	Medium
SLC35A1	165.54342	2.81406	Medium
MLLT1	165.56508	2.81449	Medium
TGFB1I1	165.58108	2.81491	Medium
AC005481.5	165.59268	2.81534	Medium
RDH14	165.64634	2.81576	Medium
ZNF501	165.65011	2.81619	Medium
MSMO1	165.73002	2.81661	Medium
CLEC18C	165.82602	2.81704	Medium
SORT1	165.82847	2.81746	Medium
FCER1A	165.88815	2.81789	Medium
DAZL	165.92207	2.81831	Medium
UBE2S	165.98556	2.81874	Medium
HSCB	166.01119	2.81916	Medium
IQCH	166.12327	2.81959	Medium
CCAR2	166.56911	2.82001	Medium
SIRT2	166.65453	2.82044	Medium
LEPROTL1	166.70851	2.82086	Medium
RNASEH2C	166.76046	2.82129	Medium
C9orf92	166.78446	2.82171	Medium
CD96	166.8244	2.82214	Medium
CYP7A1	166.85402	2.82256	Medium
RNF212	166.87321	2.82299	Medium
ITM2B	166.88489	2.82341	Medium
MFHAS1	167.02037	2.82384	Medium
ZSWIM3	167.06041	2.82426	Medium
S1PR1	167.09789	2.82469	Medium
EYA2	167.12007	2.82511	Medium
NELFE	167.20906	2.82554	Medium
SRPK1	167.21383	2.82597	Medium
IRAK3	167.27542	2.82639	Medium
ATF5	167.4423	2.82682	Medium
ABCD2	167.46052	2.82724	Medium
SERINC4	167.46472	2.82767	Medium
RWDD2B	167.54874	2.82809	Medium
IL33	167.61501	2.82852	Medium
CFLAR	167.83206	2.82895	Medium
IFT27	167.91204	2.82937	Medium
PIK3R5	168.04756	2.82980	Medium
FOXS1	168.08155	2.83022	Medium
DIXDC1	168.08416	2.83065	Medium
HTR4	168.09506	2.83108	Medium
CPSF1	168.25385	2.83150	Medium
ZCCHC13	168.3234	2.83193	Medium
RARS	168.3653	2.83236	Medium
CKS1B	168.37294	2.83278	Medium
GHDC	168.48553	2.83321	Medium
GJD4	168.49996	2.83363	Medium
TSPAN11	168.55378	2.83406	Medium
ACTRT1	168.61631	2.83449	Medium
ATP2A1	168.67085	2.83491	Medium
NRP2	168.69076	2.83534	Medium
TBC1D3B	168.80885	2.83577	Medium
DHRS12	168.91394	2.83619	Medium
NDUFA7	169.17891	2.83662	Medium
KLK3	169.21248	2.83705	Medium
AL590822.2	169.24453	2.83747	Medium
KIF20A	169.26622	2.83790	Medium
ACTN1	169.2976	2.83833	Medium
ANKRD50	169.32935	2.83875	Medium
KLHL21	169.34636	2.83918	Medium
DBX2	169.38045	2.83961	Medium
ITGB3	169.39233	2.84003	Medium
SFMBT1	169.45987	2.84046	Medium
ABLIM3	169.47144	2.84089	Medium
SLC29A4	169.55813	2.84132	Medium
NIFK	169.61896	2.84174	Medium
KLC3	169.71455	2.84217	Medium
GAD2	169.77404	2.84260	Medium
ACAD9	169.80885	2.84303	Medium
NFAM1	169.80945	2.84345	Medium
AL445989.1	169.84402	2.84388	Medium
SYT10	169.86779	2.84431	Medium
FBXO10	169.89282	2.84473	Medium
CROT	169.89771	2.84516	Medium
CCNG1	170.05268	2.84559	Medium
C1orf186	170.0644	2.84602	Medium
GP2	170.14124	2.84645	Medium
IRF4	170.24905	2.84687	Medium
PSG6	170.30147	2.84730	Medium
UBE3B	170.30974	2.84773	Medium
LRSAM1	170.33172	2.84816	Medium
SMG5	170.50384	2.84858	Medium
BIRC8	170.60625	2.84901	Medium
HTRA3	170.60666	2.84944	Medium
NKX3-1	170.68976	2.84987	Medium
MCMBP	170.73949	2.85030	Medium
PROS1	170.86942	2.85072	Medium
POLR2J3	170.88018	2.85115	Medium
C22orf29	170.89416	2.85158	Medium
HPSE	170.93256	2.85201	Medium
CFHR4	170.94001	2.85244	Medium
SLFN12	171.00693	2.85286	Medium
HDAC5	171.08527	2.85329	Medium
AC018445.1	171.18661	2.85372	Medium
LRIG3	171.34007	2.85415	Medium
MTFR2	171.35461	2.85458	Medium
LCE3C	171.36922	2.85501	Medium
RP11-724O16.1	171.42595	2.85544	Medium
PGP	171.46821	2.85586	Medium
SLC25A33	171.56863	2.85629	Medium
LATS1	171.57622	2.85672	Medium
CIDEA	171.63036	2.85715	Medium
SCFD1	171.75077	2.85758	Medium
SCNM1	171.77934	2.85801	Medium
GYLTL1B	171.79216	2.85844	Medium
GPATCH4	171.79987	2.85887	Medium
ALDH3B1	171.87941	2.85929	Medium
CDK15	171.90123	2.85972	Medium
WTIP	171.92566	2.86015	Medium
KRT38	172.03352	2.86058	Medium
INO80	172.04279	2.86101	Medium
GLT1D1	172.50596	2.86144	Medium
OR2M2	172.54754	2.86187	Medium
ZNF717	172.76755	2.86230	Medium
CSN1S1	172.88391	2.86273	Medium
PTPRO	172.96294	2.86316	Medium
DPEP2	172.96744	2.86359	Medium
NPRL3	172.98896	2.86401	Medium
HEPH	173.08353	2.86444	Medium
HIST2H3PS2	173.12826	2.86487	Medium
PRAMEF1	173.2434	2.86530	Medium
TSPAN9	173.34152	2.86573	Medium
IL7R	173.34205	2.86616	Medium
CARD11	173.34725	2.86659	Medium
RBM15	173.34726	2.86702	Medium
TREML4	173.3537	2.86745	Medium
LONRF1	173.36463	2.86788	Medium
RBL1	173.54974	2.86831	Medium
KCNJ11	173.55232	2.86874	Medium
HOXC9	173.55995	2.86917	Medium
MNDA	173.57037	2.86960	Medium
RPP14	173.61913	2.87003	Medium
OR6N2	173.81188	2.87046	Medium
FAM124B	173.94414	2.87089	Medium
DBT	173.95713	2.87132	Medium
ADCY7	174.16027	2.87175	Medium
CXorf30	174.22535	2.87218	Medium
ZNF763	174.2674	2.87261	Medium
DCST2	174.27729	2.87304	Medium
PHLDA3	174.48823	2.87347	Medium
INA	174.52967	2.87390	Medium
CLDN19	174.5966	2.87433	Medium
MYPOP	174.64302	2.87476	Medium
GHITM	174.8105	2.87519	Medium
PCDHGA9	174.89737	2.87562	Medium
GABRQ	174.95873	2.87605	Medium
OPHN1	175.03264	2.87649	Medium
HIST1H2AK	175.04946	2.87692	Medium
CCKAR	175.0724	2.87735	Medium
NUDT8	175.09017	2.87778	Medium
EPHB4	175.15701	2.87821	Medium
CEP97	175.1978	2.87864	Medium
RAD50	175.25604	2.87907	Medium
LIMK1	175.30019	2.87950	Medium
TYRP1	175.42763	2.87993	Medium
FAM211A	175.43417	2.88036	Medium
PGAM5	175.44559	2.88079	Medium
GPR84	175.47159	2.88122	Medium
BLK	175.48813	2.88166	Medium
SLC19A2	175.54032	2.88209	Medium
MYBPHL	175.54717	2.88252	Medium
C7orf50	175.57039	2.88295	Medium
RMDN3	175.66734	2.88338	Medium
RAB11FIP3	175.66911	2.88381	Medium
RAD54L	175.69413	2.88424	Medium
ECM2	175.72328	2.88468	Medium
PROZ	175.78502	2.88511	Medium
CHD2	175.7961	2.88554	Medium
FBXL12	175.94288	2.88597	Medium
TFAP4	176.04161	2.88640	Medium
SBDS	176.04699	2.88683	Medium
PVRL1	176.05297	2.88726	Medium
C7orf26	176.14971	2.88770	Medium
ASB4	176.32112	2.88813	Medium
KIAA1919	176.43792	2.88856	Medium
NADK	176.4511	2.88899	Medium
OR1M1	176.58105	2.88942	Medium
SSSCA1	176.86789	2.88986	Medium
EMC10	176.91631	2.89029	Medium
CXorf28	176.97187	2.89072	Medium
GAPVD1	177.04932	2.89115	Medium
POMK	177.14114	2.89158	Medium
CAMK4	177.22596	2.89202	Medium
CAPN10	177.2342	2.89245	Medium
FBP2	177.28797	2.89288	Medium
SLFN11	177.29534	2.89331	Medium
EFCAB9	177.32492	2.89375	Medium
PTPRK	177.34828	2.89418	Medium
BNC1	177.37371	2.89461	Medium
BEND2	177.40866	2.89504	Medium
ARHGAP5	177.4302	2.89547	Medium
FAM103A1	177.4953	2.89591	Medium
ATP13A1	177.5161	2.89634	Medium
BTN1A1	177.56691	2.89677	Medium
KCNK17	177.69987	2.89721	Medium
SNRNP200	177.85929	2.89764	Medium
DZIP1L	177.86229	2.89807	Medium
CALY	177.87988	2.89850	Medium
OTUD6B	177.93559	2.89894	Medium
EEPD1	177.93918	2.89937	Medium
ELK3	177.97683	2.89980	Medium
TCTN1	178.0036	2.90024	Medium
WISP1	178.03151	2.90067	Medium
PLCXD2	178.1315	2.90110	Medium
SLC16A12	178.14264	2.90153	Medium
FGG	178.16892	2.90197	Medium
DPRX	178.24736	2.90240	Medium
PET100	178.29168	2.90283	Medium
LMBR1L	178.30546	2.90327	Medium
USP4	178.38163	2.90370	Medium
SPACA3	178.47041	2.90413	Medium
RNF133	178.62505	2.90457	Medium
STRN	178.85571	2.90500	Medium
ZNF181	178.86688	2.90543	Medium
JAGN1	178.87629	2.90587	Medium
DCT	178.90584	2.90630	Medium
TCF15	178.93275	2.90673	Medium
AL118506.1	179.02853	2.90717	Medium
UNKL	179.13605	2.90760	Medium
PTAR1	179.24101	2.90804	Medium
TPTE	179.24136	2.90847	Medium
FHL2	179.31638	2.90890	Medium
VPS16	179.40567	2.90934	Medium
SDF2L1	179.50832	2.90977	Medium
ASB11	179.62192	2.91021	Medium
ANKRD45	179.66642	2.91064	Medium
AC104057.1	179.69065	2.91107	Medium
C12orf43	179.77744	2.91151	Medium
TBCC	179.7945	2.91194	Medium
C16orf72	179.80542	2.91238	Medium
DCN	179.81271	2.91281	Medium
CTB-167G5.5	179.81605	2.91324	Medium
COX6A1P2	179.81977	2.91368	Medium
RNF25	179.8543	2.91411	Medium
GPR116	179.87396	2.91455	Medium
SEMA4G	179.90491	2.91498	Medium
C5orf51	180.03222	2.91542	Medium
NCR3	180.14774	2.91585	Medium
CSE1L	180.17032	2.91629	Medium
INTU	180.27164	2.91672	Medium
DFFA	180.29756	2.91715	Medium
FUT7	180.33556	2.91759	Medium
SPTLC1	180.38129	2.91802	Medium
URI1	180.38212	2.91846	Medium
SLC6A11	180.38702	2.91889	Medium
AC005477.1	180.42247	2.91933	Medium
CRY2	180.46973	2.91976	Medium
HCK	180.49053	2.92020	Medium
PCDH18	180.60012	2.92063	Medium
POTED	180.64544	2.92107	Medium
ASIC3	180.70058	2.92150	Medium
FGF22	180.74457	2.92194	Medium
ZRSR2	180.80819	2.92237	Medium
SLC1A1	180.84982	2.92281	Medium
ZNF365	180.89533	2.92324	Medium
TMEM202	180.92279	2.92368	Medium
FZD5	180.92805	2.92412	Medium
LMTK3	180.94945	2.92455	Medium
TTC30B	181.06808	2.92499	Medium
RNF13	181.15242	2.92542	Medium
SV2B	181.17412	2.92586	Medium
HEPACAM2	181.19055	2.92629	Medium
ZC2HC1C	181.22376	2.92673	Medium
AL020996.1	181.25355	2.92716	Medium
FOXA2	181.27451	2.92760	Medium
ARHGAP17	181.49315	2.92804	Medium
NFRKB	181.58645	2.92847	Medium
USMG5	181.76512	2.92891	Medium
BAG1	181.92309	2.92934	Medium
PODXL2	181.93063	2.92978	Medium
SNCAIP	181.93499	2.93022	Medium
NDC1	181.94916	2.93065	Medium
ABL2	182.10584	2.93109	Medium
RELL1	182.18905	2.93152	Medium
WDR41	182.33978	2.93196	Medium
PHC3	182.37895	2.93240	Medium
NAP1L2	182.38162	2.93283	Medium
BAALC	182.38421	2.93327	Medium
ZFP57	182.38697	2.93370	Medium
UNC5D	182.39129	2.93414	Medium
WWC3	182.44228	2.93458	Medium
TUBE1	182.63578	2.93501	Medium
RAB36	182.68124	2.93545	Medium
POLR1C	182.78241	2.93589	Medium
CBS	182.79557	2.93632	Medium
SERPIND1	182.84551	2.93676	Medium
WDR6	183.03486	2.93720	Medium
GLUD2	183.33854	2.93763	Medium
ZFP62	183.34102	2.93807	Medium
FBXW4	183.37204	2.93851	Medium
MPP7	183.38307	2.93894	Medium
GBX1	183.386	2.93938	Medium
KSR2	183.49029	2.93982	Medium
GZMA	183.49661	2.94025	Medium
JADE2	183.73703	2.94069	Medium
RB1	183.73881	2.94113	Medium
CRX	183.8471	2.94157	Medium
C11orf54	183.88378	2.94200	Medium
LIME1	183.88388	2.94288	Medium
NSMCE4A	183.88388	2.94244	Medium
